partner_code,amount,bankCardInfo.bankCode,city,companyInfo.companyName,companyInfo.industry,companyInfo.occupation,customerSource,degree,idInfo.birthDate,idInfo.gender,idInfo.nation,idInfo.validityDate,income,jobFunctions,linkmanList.0.relationship,linkmanList.1.relationship,maritalStatus,pictureInfo.0.faceScore,province,purpose,resideFunctions,term,deviceInfo.gpsLatitude,deviceInfo.gpsLongitude,deviceInfo.osType,deviceInfo.isCrossDomain,label
LXJ_CODE,100000,,温州市,万顺叫车温州分公司,Z,90,XCX,3.0,24.1,F,汉,2458.0,2.0,01,PARENTS,FRIENDS,2,70,浙江省,CONSUME,01,,27.97882872091805,120.6745662489716,ANDROID,,0
LXJ_CODE,100000,102,达州市,宣汉瑞腾农业开发有限公司,Z,90,APP,4.0,36.6,M,土家,3995.0,4.0,01,MATE,FRIENDS,2,70,四川省,CONSUME,01,,31.73267368289581,108.49866806916667,ANDROID,false,0
LXJ_CODE,100000,105,红河哈尼族彝族自治州,云南谦亚工程咨询有限公司,L,17,XCX,3.0,31.8,M,汉,6678.0,3.0,01,FATHER,FATHER,1,70,云南省,CONSUME,01,,25.11577718098958,102.7268850368924,IOS,,0
LXJ_CODE,100000,105,青岛市,青岛宇科电子技术服务有限公司,G,13,APP,3.0,45.5,M,汉,170.0,2.0,01,MATE,FRIENDS,1,70,山东省,CONSUME,01,,36.279019881761147,120.02534094244682,ANDROID,false,0
LXJ_CODE,100000,302,上海市,上海晟极特种货柜有限公司,Z,90,APP,3.0,51.0,M,汉,2942.0,3.0,01,MATE,FRIENDS,1,70,上海市,CONSUME,01,,31.390099,121.267122,ANDROID,false,0
LXJ_CODE,100000,105,哈尔滨市,中建一局集团第五建筑有限公司,E,24,XCX,4.0,36.1,M,汉,4062.0,2.0,01,FATHER,SIBLING,2,78.33294,黑龙江省,CONSUME,01,,45.73591693363582,126.57834500600885,ANDROID,,1
LXJ_CODE,100000,102,枣庄市,台儿庄中医院,Q,11,APP,4.0,31.1,F,汉,6153.0,2.0,01,MATE,SIBLING,1,89.722,山东省,CONSUME,01,,34.87365929756598,117.55774456713681,ANDROID,,0
LXJ_CODE,100000,,三明市,天天来糕饼店,Z,90,APP,2.0,43.8,M,汉,4642.0,4.0,01,MATE,SIBLING,1,70,福建省,CONSUME,01,,26.628521,118.175213,ANDROID,false,0
LXJ_CODE,100000,103,舟山市,自来水有限公司,D,17,APP,3.0,33.1,M,汉,5591.0,2.0,01,MATE,COLLEAGUE,1,86.517,浙江省,CONSUME,01,,29.999114465951178,122.2026991594535,ANDROID,,0
LXJ_CODE,100000,104,北京市,悦荟万科,K,17,APP,2.0,45.9,F,汉,428.0,4.0,01,PARENTS,FRIENDS,1,70,北京市,CONSUME,01,,40.23984071570783,116.24100074107372,ANDROID,false,1
LXJ_CODE,100000,103,东营市,东营港经济开发区盛合商贸中心,Z,90,APP,3.0,37.6,M,汉,5082.0,2.0,01,MATE,RELATIVES,1,70,山东省,CONSUME,01,,37.470941629614667,118.71166007242307,ANDROID,false,0
LXJ_CODE,100000,105,黄冈市,中冶南方武汉工程咨询管理有限公司,L,17,APP,3.0,32.4,M,汉,6125.0,4.0,01,FATHER,FRIENDS,1,90.276,湖北省,CONSUME,01,,30.510698427242063,114.17911354192866,ANDROID,false,0
LXJ_CODE,100000,102,盐城市,金坛长江浇筑劳务有限公司,O,17,APP,2.0,44.9,M,汉,3886.0,4.0,01,PARENTS,FRIENDS,1,70,江苏省,CONSUME,01,,36.681394,117.018994,ANDROID,false,0
LXJ_CODE,100000,103,益阳市,湖南飞付科技有限公司,G,13,APP,3.0,26.6,M,壮,2711.0,2.0,01,MOTHER,FATHER,2,70,湖南省,CONSUME,01,,28.831165,112.373252,ANDROID,false,0
LXJ_CODE,100000,103,贵阳市,贵州鑫杰房屋征收政策咨询服务有限公司,L,17,APP,4.0,46.3,M,汉,237.0,3.0,01,MOTHER,SIBLING,3,70,贵州省,CONSUME,01,,26.59234471198771,106.7724868459086,ANDROID,,0
